model,model_index,start_id,start_kind,start_seed,initial_parameters_log,final_parameters_log,fit_success,fit_status,fit_message,nfev,nit,train_mse,train_rmse,validation_rmse,validation_bic,test_rmse,error,selected_by_train_mse,selection_reason
LADDER_1R1C,0,1,notebook_initialization,,"[-1.6094379124341003,16.11809565095832,-9.210340371976182]","[4.99997122139724,21.222815150064626,-1.2988227662981096]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,300,35,3.2585125107328645,1.80513503947291,5.006512663631407,4738.112324857926,0.8492405926861305,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,2,log_uniform_within_published_bounds,1252636473.0,"[-2.0112909457365973,15.782475466239838,-1.9060637195254877]","[-10.0,23.166005441574594,-20.0]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,52,9,74.39578818777908,8.62529931004015,9.403342350723706,6583.705674928195,9.622401346110571,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,3,log_uniform_within_published_bounds,2153705412.0,"[-3.3780593080107675,15.827666596314419,-15.786187577729905]","[-3.0196574816457864,16.185699432850797,-15.785786734630982]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,5,74.3954718301165,8.62528097108242,9.403272601820287,6583.683956528606,9.622307877693169,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,4,log_uniform_within_published_bounds,3230377341.0,"[2.6921258495725784,8.541649428201383,-9.82696216241856]","[5.0,20.62538884850751,-1.8957745857998907]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,296,33,3.258552646218182,1.8051461564699358,5.0067285641455115,4738.238589009766,0.8495013469813666,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,5,log_uniform_within_published_bounds,35925320.0,"[-0.003758523531002922,10.65750673017519,-11.839087355985663]","[4.999318059939985,22.561334117841433,0.03991689792534103]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,200,13,3.258464368088556,1.8051217045087449,5.006802668505827,4738.281925883036,0.8494186321480376,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,6,log_uniform_within_published_bounds,3988066479.0,"[-6.432765578142025,16.188134423757525,-8.336995845492364]","[4.996858605656604,21.275274519389612,-1.246102093662294]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,168,12,3.258503958291602,1.8051326705512818,5.006716064266817,4738.231278908961,0.8494094793703919,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,7,log_uniform_within_published_bounds,2203183383.0,"[-8.593546158366156,21.69244377041482,-11.296155788516446]","[-8.559937804435208,21.72597275883435,-11.296077092567755]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,3,74.39567754937644,8.625292896439891,9.403291188061324,6583.689743924366,9.622335218638693,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,8,log_uniform_within_published_bounds,1709747549.0,"[3.4126324436161966,18.0962536723316,-8.24183984872488]","[4.952661764180431,22.255309052791187,-0.2659742503439943]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,216,25,3.2584701017276845,1.805123292666649,5.00688391849926,4738.329440847421,0.8494983205247695,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,9,log_uniform_within_published_bounds,343319651.0,"[-8.430329767694818,19.53298559132065,-14.213979233062993]","[-7.398630044266553,20.564600951588318,-14.2139357091836]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44,5,74.39576909000324,8.625298202961057,9.403396872702869,6583.722651858974,9.622469068852734,,False,higher_train_mse_or_later_train_mse_tie
LADDER_1R1C,0,10,log_uniform_within_published_bounds,2553240244.0,"[4.472210176891172,20.117925252106794,-17.722704804802657]","[5.0,24.022399118652157,-17.698285597695175]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,112,5,43.29702224527943,6.580047282906061,4.26218631652626,4266.829206606252,0.6330611318532564,,False,higher_train_mse_or_later_train_mse_tie
