model,model_index,n_starts,n_finite_train_runs,n_successful,selected_start_id,selected_train_mse,train_mse_q05,train_mse_median,train_mse_q95,train_mse_max,validation_bic_q05,validation_bic_median,validation_bic_q95,relative_train_mse_spread,near_best_train_fraction,objective_basin_count,endpoint_log_iqr_median,identification_confidence,confidence_reason
LADDER_1R1C,0,32,32,31,29,3.258451147185855,3.258464021980494,3.258649782611129,74.39578818749752,74.39578824101648,4266.755676111827,4738.260005173659,6583.718177801319,21.831641439604834,0.5625,3,2.8125991856116777,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_2R2C,1,32,32,28,3,3.258466798321847,3.2585256529393205,43.296887310942694,78.43764194166403,83.3758045658954,-379.8727056604338,4751.465091982356,6598.696559945854,24.587434129706345,0.15625,10,10.315798211260407,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_3R3C,2,32,32,29,11,3.258456052229713,3.2584828791403533,43.29683071568023,57.72906840079163,74.404211811119,4295.652329710059,4295.9935841568895,5601.9409361600465,21.834192212046347,0.15625,14,8.518175195620662,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_4R4C,3,32,32,29,21,3.2585118046899506,3.258533549891561,43.29682357628974,44.4608607926872,74.4031611858601,4274.511493393885,4310.5695666040665,4787.076543319738,21.833479098885636,0.21875,12,11.209666433206689,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_5R5C,4,32,32,28,22,3.258454561864766,3.2584682232443862,43.29680155477695,43.29703258386564,43.30696873959113,4325.146258540373,4325.1474707249545,4797.596112603297,12.29064681350265,0.1875,7,9.87015263725593,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_6R6C,5,32,32,29,21,3.258465721102256,3.258490774080377,43.296697504893245,43.308487420989515,43.31749256867106,4339.6975064742,4339.7358499934,4813.209398521444,12.2938309855897,0.15625,13,9.213215349560432,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_7R7C,6,32,32,30,4,3.2584977513778584,3.258617754994872,43.29570267673931,43.99035164807864,74.40660014693485,4354.106706102959,4355.5836428951625,4911.174117329657,21.83463295792423,0.09375,15,7.89151369955804,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_8R8C,7,32,32,25,2,3.258456129168796,3.2584593002712574,43.296693691339584,43.29927203008559,43.30560383527813,4368.881031348389,4368.89220755645,4855.464336569014,12.290221540077942,0.15625,11,8.402201912573041,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_9R9C,8,32,32,30,1,3.258656708018928,3.2613046897477074,43.29438657304064,43.299683448732985,43.316777272742954,4383.458598150836,4383.481900828545,4859.903179246682,12.292832339825392,0.03125,15,8.425630885842532,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
LADDER_10R10C,9,32,32,28,1,3.2584806462008444,3.2585385290542277,43.29607825649527,43.29680757142146,44.0098889115261,4398.0367420332295,4398.045329614235,4872.452169484336,12.506260644155883,0.09375,12,8.816941666900284,sensitive_to_initialization,Sampled starts reached multiple train-objective values or a material train-MSE spread.
