model,model_index,start_id,start_kind,start_seed,initial_parameters_log
LADDER_1R1C,0,1,notebook_initialization,,"[-1.6094379124341003,16.11809565095832,-9.210340371976182]"
LADDER_1R1C,0,2,log_uniform_within_published_bounds,1252636473.0,"[-2.0112909457365973,15.782475466239838,-1.9060637195254877]"
LADDER_1R1C,0,3,log_uniform_within_published_bounds,2153705412.0,"[-3.3780593080107675,15.827666596314419,-15.786187577729905]"
LADDER_1R1C,0,4,log_uniform_within_published_bounds,3230377341.0,"[2.6921258495725784,8.541649428201383,-9.82696216241856]"
LADDER_1R1C,0,5,log_uniform_within_published_bounds,35925320.0,"[-0.003758523531002922,10.65750673017519,-11.839087355985663]"
LADDER_1R1C,0,6,log_uniform_within_published_bounds,3988066479.0,"[-6.432765578142025,16.188134423757525,-8.336995845492364]"
LADDER_1R1C,0,7,log_uniform_within_published_bounds,2203183383.0,"[-8.593546158366156,21.69244377041482,-11.296155788516446]"
LADDER_1R1C,0,8,log_uniform_within_published_bounds,1709747549.0,"[3.4126324436161966,18.0962536723316,-8.24183984872488]"
LADDER_1R1C,0,9,log_uniform_within_published_bounds,343319651.0,"[-8.430329767694818,19.53298559132065,-14.213979233062993]"
LADDER_1R1C,0,10,log_uniform_within_published_bounds,2553240244.0,"[4.472210176891172,20.117925252106794,-17.722704804802657]"
LADDER_1R1C,0,11,log_uniform_within_published_bounds,800765674.0,"[3.404254697895304,14.073352831101221,-3.8431962126997625]"
LADDER_1R1C,0,12,log_uniform_within_published_bounds,2255372395.0,"[-2.939220088333756,10.311829532703385,-9.863111751352045]"
LADDER_1R1C,0,13,log_uniform_within_published_bounds,630104605.0,"[2.012219675024909,10.404411663393722,-9.025129504973087]"
LADDER_1R1C,0,14,log_uniform_within_published_bounds,437277269.0,"[2.9373413012469545,9.361972971327065,-0.1983920312617471]"
LADDER_1R1C,0,15,log_uniform_within_published_bounds,885622403.0,"[-5.6758691665572085,23.125545939864644,-7.795818398193427]"
LADDER_1R1C,0,16,log_uniform_within_published_bounds,3910017654.0,"[2.359442672931859,23.732032459380484,-11.268763520397002]"
LADDER_1R1C,0,17,log_uniform_within_published_bounds,938216706.0,"[-9.425533818876678,18.43159668320527,-0.7368885491006125]"
LADDER_1R1C,0,18,log_uniform_within_published_bounds,1609713692.0,"[-1.1708785317534325,13.481684758651209,-12.106205507790648]"
LADDER_1R1C,0,19,log_uniform_within_published_bounds,2054222707.0,"[-1.1717167324535431,19.001332636155663,-18.733075872362548]"
LADDER_1R1C,0,20,log_uniform_within_published_bounds,785903155.0,"[3.2230654496012487,18.768543329055834,-18.504151780800036]"
LADDER_1R1C,0,21,log_uniform_within_published_bounds,1125918028.0,"[-4.207663808705629,19.401477993902738,-5.429890568609109]"
LADDER_1R1C,0,22,log_uniform_within_published_bounds,476107423.0,"[-6.091786027112603,19.063987738868956,-0.7858197268495815]"
LADDER_1R1C,0,23,log_uniform_within_published_bounds,7417521.0,"[-2.895964457127799,8.036903517432126,-9.58263613707848]"
LADDER_1R1C,0,24,log_uniform_within_published_bounds,687162828.0,"[1.71118813300561,19.01264016802617,-17.452314236032038]"
LADDER_1R1C,0,25,log_uniform_within_published_bounds,2910466702.0,"[-4.499028628118913,15.637175380351936,-5.805656246466302]"
LADDER_1R1C,0,26,log_uniform_within_published_bounds,3234892661.0,"[4.758737349754313,19.7108353978058,-10.56942664771192]"
LADDER_1R1C,0,27,log_uniform_within_published_bounds,4092916733.0,"[-6.153781166091342,23.272440262869974,-15.612311401544064]"
LADDER_1R1C,0,28,log_uniform_within_published_bounds,2334732343.0,"[0.8505828105340392,8.01350633843571,-14.171627861991682]"
LADDER_1R1C,0,29,log_uniform_within_published_bounds,4084974363.0,"[1.4094847622141433,20.02380757729903,-7.976350124720231]"
LADDER_1R1C,0,30,log_uniform_within_published_bounds,4267902687.0,"[-7.800933052839346,23.41310258148945,-8.952711950573267]"
LADDER_1R1C,0,31,log_uniform_within_published_bounds,1095515428.0,"[-2.0734302435337737,24.983732736974353,1.9886776354248532]"
LADDER_1R1C,0,32,log_uniform_within_published_bounds,3077112909.0,"[-5.12834301720733,15.700368002135438,-18.74475220050062]"
LADDER_2R2C,1,1,notebook_initialization,,"[-1.6094379124341003,-1.6094379124341003,16.11809565095832,16.11809565095832,-9.210340371976182]"
LADDER_2R2C,1,2,log_uniform_within_published_bounds,1240724818.0,"[1.2540080869515542,-2.411633579073948,10.43073503162539,11.64605310480075,-14.561411756909436]"
LADDER_2R2C,1,3,log_uniform_within_published_bounds,1692423468.0,"[-8.750708930213555,-0.26475203784145585,22.16332566737087,24.27443458251644,-1.888021881827715]"
LADDER_2R2C,1,4,log_uniform_within_published_bounds,1919568673.0,"[-9.087860739257899,-7.634064327846438,17.751724709782934,22.69747142721623,-10.15751842065091]"
LADDER_2R2C,1,5,log_uniform_within_published_bounds,3020143442.0,"[-9.244542516710531,-6.366817876401276,15.824535070566963,20.283324431209195,-12.191074254654342]"
LADDER_2R2C,1,6,log_uniform_within_published_bounds,3382782507.0,"[-2.124322296878284,2.7581712425116116,8.466214652081504,24.71807891965094,-7.229929779831872]"
LADDER_2R2C,1,7,log_uniform_within_published_bounds,3439066297.0,"[-4.891309460803107,-7.445661286406139,18.99436322358587,11.144514719372413,-3.1813771273468525]"
LADDER_2R2C,1,8,log_uniform_within_published_bounds,2220353999.0,"[-4.287491484747435,3.4779669987677195,22.05089304305598,9.568776591491442,-3.9979268811024298]"
LADDER_2R2C,1,9,log_uniform_within_published_bounds,3232856333.0,"[-8.860511867561101,2.835497659165922,13.160421513551324,16.70923233490739,-4.227452191689341]"
LADDER_2R2C,1,10,log_uniform_within_published_bounds,1891210304.0,"[2.3468802946846505,3.566864631235081,10.54543676269316,15.27791345323009,-3.385543856516019]"
LADDER_2R2C,1,11,log_uniform_within_published_bounds,2472482792.0,"[1.964661234288549,-6.025836994643895,11.056513274181079,16.575478981144038,1.3252480208180444]"
LADDER_2R2C,1,12,log_uniform_within_published_bounds,2459474908.0,"[0.533857311037405,-6.128026544154718,9.127243364981373,21.492995515258265,-4.437599406618293]"
LADDER_2R2C,1,13,log_uniform_within_published_bounds,1776033500.0,"[-8.641710845361146,1.47881170833322,13.864637976590377,12.043560718454339,-15.83093726218511]"
LADDER_2R2C,1,14,log_uniform_within_published_bounds,1882239527.0,"[1.5177329302064475,-8.272766211823987,16.39324315093618,19.284901489537738,-1.1139783404528387]"
LADDER_2R2C,1,15,log_uniform_within_published_bounds,2082755029.0,"[-5.70863679418209,-7.971444879357833,16.751644418060316,15.925493661723632,-15.750216296814159]"
LADDER_2R2C,1,16,log_uniform_within_published_bounds,234290004.0,"[0.8614312494058716,1.8167178787808176,12.554751510385563,15.067877796054079,-18.72336528719724]"
LADDER_2R2C,1,17,log_uniform_within_published_bounds,1483113667.0,"[-3.046753921130543,1.9655117556762605,22.00649330002178,13.951425131739997,-13.662663950494466]"
LADDER_2R2C,1,18,log_uniform_within_published_bounds,2753355451.0,"[-5.855679421157598,-0.12278596529544927,17.54525776737268,21.01617048217156,-12.789535469056137]"
LADDER_2R2C,1,19,log_uniform_within_published_bounds,1027759679.0,"[3.76938150078521,-6.2343317556840905,12.237652038793307,8.549493452744485,-1.8159942669549487]"
LADDER_2R2C,1,20,log_uniform_within_published_bounds,557425175.0,"[1.2472549588833175,-9.01368631323739,23.274222698075274,9.209922122477714,-16.17184424240086]"
LADDER_2R2C,1,21,log_uniform_within_published_bounds,2639308606.0,"[-4.269247800638472,-1.3912379999444031,15.239275219526215,14.73860198830204,-12.972450909985294]"
LADDER_2R2C,1,22,log_uniform_within_published_bounds,2816957126.0,"[-8.259957335422353,-7.4526343115546805,18.192304965891644,18.933478916205008,-17.153788619568118]"
LADDER_2R2C,1,23,log_uniform_within_published_bounds,2619616820.0,"[-4.753862368187538,-3.68967550856366,22.507125394200465,14.633702879804826,-14.659039943474259]"
LADDER_2R2C,1,24,log_uniform_within_published_bounds,3612190949.0,"[-6.801169287258217,3.9343342058461026,20.91597641872947,22.439530958332035,-1.776276095370985]"
LADDER_2R2C,1,25,log_uniform_within_published_bounds,3927675623.0,"[-0.1423064969129051,4.483694880255236,22.605147088877374,8.328344275177619,1.8339124586686815]"
LADDER_2R2C,1,26,log_uniform_within_published_bounds,2888306282.0,"[-7.29225378060938,3.940421326675864,16.278911733339257,19.286541769345618,-0.9076632697561244]"
LADDER_2R2C,1,27,log_uniform_within_published_bounds,1926976960.0,"[-1.1732714086311127,3.067048749319241,20.43070878036854,17.81092918512161,-15.811886090585142]"
LADDER_2R2C,1,28,log_uniform_within_published_bounds,2079953971.0,"[-8.482122847931176,-5.330002889449014,15.410325679914157,23.555638887337867,-0.04224922420175048]"
LADDER_2R2C,1,29,log_uniform_within_published_bounds,2292799018.0,"[-6.067193686999614,3.0757342219151944,18.19615419323397,16.577094291998492,-11.295723828338167]"
LADDER_2R2C,1,30,log_uniform_within_published_bounds,4265016358.0,"[-8.62622963768737,-8.57932588131193,8.664534393537643,23.58166631976561,-11.54316929908363]"
LADDER_2R2C,1,31,log_uniform_within_published_bounds,2863041445.0,"[-9.63129369207312,-5.597684616963827,18.917872373265446,17.527335654339957,-7.897391489401011]"
LADDER_2R2C,1,32,log_uniform_within_published_bounds,1716776922.0,"[0.9596544627390156,-1.3141571702450783,14.753209429321995,20.994401248283214,-4.949295276844111]"
LADDER_3R3C,2,1,notebook_initialization,,"[-1.6094379124341003,-1.6094379124341003,-1.6094379124341003,16.11809565095832,16.11809565095832,16.11809565095832,-9.210340371976182]"
LADDER_3R3C,2,2,log_uniform_within_published_bounds,1268352475.0,"[1.4316767973219893,-6.452781842241366,-8.078564870739168,11.345319758446509,15.565167461727627,10.997793663708123,-11.127979636549387]"
LADDER_3R3C,2,3,log_uniform_within_published_bounds,568609668.0,"[-9.715934871567002,-7.219590501186631,-2.761736905268049,9.965933668079721,11.298389398963398,16.4255364781268,-8.801910385957122]"
LADDER_3R3C,2,4,log_uniform_within_published_bounds,2406677399.0,"[-7.333194243729965,1.9442308557525152,-4.876845951866722,23.84143324757221,18.365463299086585,14.813811183694686,-15.678337460502467]"
LADDER_3R3C,2,5,log_uniform_within_published_bounds,204075879.0,"[-4.535272215399589,-5.005394974588919,3.4802382304195625,9.918530350612768,17.23324422958997,11.172666895770043,-3.952030348332592]"
LADDER_3R3C,2,6,log_uniform_within_published_bounds,3190161121.0,"[-8.775303578241804,0.48822283670601685,3.1333359983444673,20.114156591979963,12.995242737191095,16.89419131763821,-14.797079244168536]"
LADDER_3R3C,2,7,log_uniform_within_published_bounds,1987278339.0,"[-9.43445734814496,-2.5228240711607173,0.8803661485099745,11.647290381895033,11.1834702335201,9.88545213309152,0.5347636390713149]"
LADDER_3R3C,2,8,log_uniform_within_published_bounds,3556877634.0,"[-5.973535450698301,1.7043292786323203,-2.511354765303108,9.934355565052682,12.753595620949389,17.104074056932006,-17.8245690352458]"
LADDER_3R3C,2,9,log_uniform_within_published_bounds,152039581.0,"[-3.146227908550604,-9.171168103019482,-8.136354339889174,11.54235960314838,9.389041948691922,16.631449991175316,-1.188288236688198]"
LADDER_3R3C,2,10,log_uniform_within_published_bounds,1359031017.0,"[-3.8861442674392057,3.5019523716817496,4.39197081543691,23.235982483739924,24.02066922213429,23.44892903652712,-13.293966098997593]"
LADDER_3R3C,2,11,log_uniform_within_published_bounds,215662896.0,"[-7.555811776175672,3.936312418599618,1.2628002774114329,18.394720455764713,16.039614196187188,9.630087586652206,-12.909063078609169]"
LADDER_3R3C,2,12,log_uniform_within_published_bounds,107520569.0,"[1.1282030863982424,4.5566890082334055,-2.738950716724405,22.794242070838784,24.813570975221346,9.057038994316219,-2.3339546513346683]"
