model,n_nodes,n_resistances,n_capacitances,n_parameters,duplicate_of,fit_success,fit_status,fit_message,fit_nfev,validation_rmse,validation_mae,validation_bic,test_rmse,test_mae,expected_validation_rmse,expected_validation_bic,expected_test_rmse,expected_success,delta_validation_rmse,delta_validation_bic,delta_test_rmse
LADDER_1R1C,1,1,1,3,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,300,5.006512663631407,4.309543444297735,4738.112324857926,0.8492405926861305,0.6931540220137092,5.006645,4738.189891,0.849438,True,-0.00013233636859322218,-0.07756614207391976,-0.00019740731386952426
LADDER_2R2C,2,2,2,5,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,492,5.00585643906557,4.3089949781192,4752.306369879649,0.8486442083916409,0.6926597414208021,5.006811,4752.86477,0.8495,False,-0.0009545609344296935,-0.5584001203515072,-0.0008557916083591355
LADDER_3R3C,3,3,3,7,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,488,5.00692642804532,4.3098900715691455,4767.510010884181,0.8494999059478999,0.6933686683163354,5.006419,4767.213098,0.849068,True,0.0005074280453198909,0.29691288418052864,0.0004319059478998799
LADDER_4R4C,4,4,4,9,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,680,5.006934353387441,4.309896811544959,4782.092500929574,0.8495074058010048,0.6933749193295908,5.006899,4782.071618,0.849477,True,3.535338744153904e-05,0.020882929574327136,3.0405801004773636e-05
LADDER_5R5C,5,5,5,11,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,228,5.006935313944006,4.309897602445571,4796.670918041451,0.8495081417594292,0.6933755248095025,5.006922,4796.663186,0.849496,True,1.3313944005943767e-05,0.007732041451163241,1.2141759429207255e-05
LADDER_6R6C,6,6,6,13,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,840,5.007336922076882,4.310233556624629,4811.483619974701,0.8498510576597287,0.6936595841040047,5.006929,4811.245026,0.849502,True,0.0004079220768815617,0.23859397470096155,0.00034905765972870206
LADDER_7R7C,7,7,7,15,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,560,5.0069644110817695,4.309922512621539,4825.8436444521485,0.8495367759306627,0.6933994408045357,5.006941,4825.829766,0.849512,True,2.3411081769175723e-05,0.013878452148674114,2.477593066263495e-05
LADDER_8R8C,8,8,8,17,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,630,5.006925701363628,4.309889441494162,4840.39886287325,0.8494991378484781,0.6933680244287398,5.006925,4840.398288,0.849498,True,7.013636285080338e-07,0.0005748732501160703,1.1378484781054965e-06
LADDER_9R9C,9,9,9,19,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,620,5.006952891605966,4.309912528769337,4854.992618800496,0.8495246274506723,0.6933892583926865,5.006949,4854.990524,0.849521,True,3.891605966366285e-06,0.0020948004957972444,3.6274506722833166e-06
LADDER_10R10C,10,10,10,21,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,880,5.006928471049723,4.309891782528807,4869.556193335574,0.8495016629625671,0.6933701246880657,5.006735,4869.442915,0.849339,True,0.00019347104972311513,0.11327833557425038,0.00016266296256717272
STD_1R1C,1,1,1,3,LADDER_1R1C,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,300,5.006512663631407,4.309543444297735,4738.112324857926,0.8492405926861305,0.6931540220137092,5.006645,4738.189891,0.849438,True,-0.00013233636859322218,-0.07756614207391976,-0.00019740731386952426
STD_2R1C_parallel_losses,1,2,1,4,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,255,5.006499131753833,4.309530696075694,4745.393338582436,0.8494915734446871,0.6933626236608256,5.006727,4745.526725,0.849499,True,-0.000227868246166274,-0.13338641756399738,-7.4265553129393425e-06
STD_2R2C_air_mass,2,2,2,5,LADDER_2R2C,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,492,5.00585643906557,4.3089949781192,4752.306369879649,0.8486442083916409,0.6926597414208021,5.006811,4752.86477,0.8495,False,-0.0009545609344296935,-0.5584001203515072,-0.0008557916083591355
STD_3R2C_air_shunt,2,3,2,6,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,812,5.021349201395735,4.321755886720364,4768.643250877767,0.8739317630979982,0.718296303562355,4.975361,4741.703687,0.851451,True,0.04598820139573423,26.939563877766886,0.02248076309799829
STD_3R3C_two_masses_series,3,3,3,7,LADDER_3R3C,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,488,5.00692642804532,4.3098900715691455,4767.510010884181,0.8494999059478999,0.6933686683163354,5.006419,4767.213098,0.849068,True,0.0005074280453198909,0.29691288418052864,0.0004319059478998799
STD_4R3C_two_masses_plus_air_shunt,3,4,3,8,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1332,5.007034573211701,4.30998033414919,4774.8621800966475,0.8496480624818494,0.693491573510826,4.682382,4578.578337,0.857599,True,0.3246525732117016,196.28384309664762,-0.00795093751815057
STD_5R3C_air_shunt_mid_shunt,3,5,3,9,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1330,5.001383697466075,4.305178176767466,4778.844737994483,0.8766333984482366,0.7178584904274455,5.006278,4781.708599,0.874338,True,-0.004894302533925199,-2.86386100551681,0.002295398448236674
STD_6R4C_three_masses_plus_shunts,4,6,4,11,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,996,5.025007214320206,4.32496459900587,4807.22013747556,0.8681435552417033,0.7114922170616553,5.022779,4805.921252,0.902459,True,0.0022282143202057014,1.298885475559473,-0.03431544475829673
STD_7R5C_four_masses_plus_shunts,5,7,5,13,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1414,4.843380580898465,4.15729518195257,4714.006760182822,1.0267372691096286,0.8723268334620605,5.007632,4811.656407,0.850929,True,-0.16425141910153496,-97.64964681717811,0.17580826910962855
